1571806085,1,17,1,"C2,CK;S2,S3;C9,C3;S4,S6;C10,C4;S5,S9;D2,D4;CJ,C5;S7,S10;CQ,C6;S8,SJ;D3,D6;SA,C7;D5,D7;D9,D8;D10,DJ;SK,C8;DQ,DK;H9,CA;H2,H3;H4,H5;H6,H7;H8,H10;HQ,HJ;DA,SQ;HA,HK"
1571806085,1,25,1,"CA,C2;D2,D3;D4,D5;C3,C7;C4,C8;D6,D8;C5,C10;D7,D10;C6,CJ;D9,DJ;DK,DQ;S3,S2;S4,S5;SA,DA;S6,S8;S7,S10;S9,SJ;HQ,SK;H4,H2;C9,SQ;CQ,HA;CK,HK;H7,H6;H9,H8;H10,H5;HJ,H3"
1571806085,1,11,1,"C2,C10;S2,S4;SQ,C3;D2,D4;SA,C4;SK,C5;D3,D5;D9,C6;S3,S7;D6,D7;S9,C7;S5,S8;HJ,C8;S6,SJ;HK,C9;H3,H2;D8,HA;D10,H10;DJ,H8;DQ,H6;DK,H5;DA,H4;H7,CA;H9,CK;HQ,CQ;S10,CJ"
1571806085,1,24,1,"C8,C2;D3,D2;S3,S2;S4,S5;C4,C3;S9,S8;C5,C6;D4,D6;D5,D7;D10,D8;C7,SQ;C9,HK;C10,H10;CJ,H9;CQ,H8;CK,H6;CA,H5;DK,DQ;DA,DJ;H2,H3;SA,SJ;H7,H4;HJ,S10;HQ,D9;HA,S7;SK,S6"
1571806085,1,25,1,"CK,C2;D4,D2;S3,S2;S8,S7;S10,S9;SJ,S6;C4,C3;C8,C7;C9,C6;C10,C5;CA,CQ;D5,D3;D6,D7;D9,D8;D10,DK;SK,CJ;H6,S4;H3,H2;DJ,SQ;DQ,HA;DA,H10;H8,H7;H9,H5;HJ,H4;HQ,SA;HK,S5"
1571806085,1,22,1,"C2,CK;S2,S3;C4,C3;S6,S5;S7,S4;S9,S8;SJ,S10;C5,C7;D2,D4;D3,D5;C6,C8;D6,D8;D7,D9;DJ,D10;C9,C10;CJ,CA;DQ,DA;SA,SK;CQ,SQ;DK,HK;H2,H3;H7,H4;H8,H6;H9,H5;H10,HJ;HA,HQ"
1571806085,1,11,1,"C2,CA;S2,S7;C8,C3;S3,S8;C9,C4;S4,S10;D2,D4;CQ,C5;S5,SA;D3,D5;CK,C6;S6,HK;S9,H10;SJ,H9;D6,D8;SQ,C7;D7,D9;DK,D10;DA,DQ;H4,H3;H5,H2;H6,H7;HJ,H8;HQ,CJ;HA,DJ;SK,C10"
1571806085,1,2,1,"C2,CQ;S2,S6;D2,D3;D5,D4;S3,S10;C3,C5;D6,D7;C4,C7;C6,C8;C9,C10;SA,CJ;D8,DJ;S4,CK;D9,DK;H3,CA;H2,H6;H4,H7;H5,H8;HK,H9;S5,SK;D10,DA;S7,SQ;SJ,H10;S8,HJ;DQ,HQ;S9,HA"
1571806085,1,12,1,"C2,C10;S2,S6;C4,C3;S3,S7;C7,C5;S4,S8;D2,D5;SQ,C6;D9,C8;D10,C9;S5,S9;DA,CJ;D3,CQ;D4,DQ;D6,DK;H7,CK;H3,H2;D7,HA;D8,HJ;DJ,H9;H5,H4;H10,H8;HQ,H6;HK,CA;S10,SK;SJ,SA"
1571806085,1,1,1,"CK,C2;D3,D2;S2,S5;C7,C3;S3,S7;D7,D4;S4,S8;C8,C4;S6,S9;C9,C5;SJ,S10;CQ,CJ;CA,C10;D8,D6;D10,D9;DJ,D5;DK,DQ;DA,HA;H2,H4;H3,H5;SQ,C6;SK,SA;H6,H8;H7,H10;H9,HQ;HJ,HK"
1571806085,1,8,1,"C2,CQ;S2,S3;D2,D4;C3,C4;C6,C5;S4,S6;D3,D7;D5,D8;C7,C8;D6,D9;CJ,C9;S5,SK;H2,C10;H4,H3;S7,SA;D10,DQ;DJ,DK;HA,CK;H5,H6;H10,H7;S8,SQ;HK,DA;HJ,H8;S9,HQ;S10,H9;SJ,CA"
1571806085,1,0,1,"C2,C10;S4,S3;S5,S2;S8,S7;SJ,S10;C3,C4;D5,D2;C5,C7;D9,D3;C6,CJ;D10,D4;C8,CQ;DJ,D6;C9,CK;DQ,D7;DK,D8;DA,SQ;SA,S9;SK,S6;H4,H3;H7,H6;H9,H8;H10,H5;HQ,HJ;HK,H2;HA,CA"
1571806085,1,12,1,"C2,CA;S3,S2;S5,S4;S6,S8;D4,D2;S7,SK;D5,D3;S9,SA;C3,C4;D8,D6;S10,HA;SJ,HQ;C5,CJ;DA,D7;C6,CK;SQ,D9;HK,D10;H4,H2;C7,HJ;C8,H9;C9,H7;C10,H6;CQ,H3;H5,DK;H8,DQ;H10,DJ"
1571806085,1,26,1,"CK,C2;D5,D2;S3,S2;S5,S4;S6,S7;D9,D3;S10,S9;C3,C4;D10,D4;C5,C7;DJ,D6;C6,C9;DA,D7;C8,CQ;SA,D8;C10,DQ;HJ,DK;H2,H3;H4,H8;H5,H9;H6,H10;H7,HA;HK,S8;HQ,SJ;CA,SK;CJ,SQ"
1571806085,1,0,1,"CA,C2;D5,D2;S3,S2;S5,S4;S8,S7;C4,C3;C6,C5;C9,C8;C10,C7;CJ,H10;CQ,H5;CK,H3;D9,D8;DQ,DJ;DK,D10;H4,H2;H6,DA;H7,SK;H8,SJ;H9,S10;HJ,S9;HQ,D7;HK,D6;HA,S6;SA,D4;SQ,D3"
1571806085,1,5,1,"C2,CA;S4,S3;S6,S5;S8,S7;S9,S2;S10,SA;D5,D2;SJ,SQ;C4,C3;C5,C7;D9,D3;C6,C8;DJ,D4;C9,CJ;DQ,D6;C10,CQ;DA,D7;SK,HK;H3,H2;H4,H5;H7,H6;H8,H9;HA,D8;HQ,D10;HJ,DK;H10,CK"
